country,country_code,country_iso,prefix,voice_rate_in_dollars,voice_unit_in_seconds
South Africa,27,ZAF,27,0.04600,60
South Africa,27,ZAF,277,0.16400,60
Eritrea,291,ERI,291,0.43400,60
Eritrea,291,ERI,2911,0.45600,60
Eritrea,291,ERI,2917,0.42400,60
Aruba,297,ABW,297,0.15900,60
Aruba,297,ABW,2971,0.21000,60
Aruba,297,ABW,2975,0.11200,60
Aruba,297,ABW,2976,0.37500,60
Aruba,297,ABW,2977,0.39000,60
Aruba,297,ABW,2979,0.36900,60
Faeroe Islands,298,FRO,298,0.38300,60
Faeroe Islands,298,FRO,2982,0.36100,60
Faeroe Islands,298,FRO,2985,0.36100,60
Faeroe Islands,298,FRO,2987,0.36400,60
Faeroe Islands,298,FRO,2989,0.38300,60
Greenland,299,GRL,299,0.61500,60
Greenland,299,GRL,2992,0.61500,60
Greenland,299,GRL,2994,0.61900,60
Greenland,299,GRL,2995,0.65100,60
Greece,30,GRC,30,0.02800,60
Greece,30,GRC,302,0.02800,60
Greece,30,GRC,306,0.04500,60
Greece,30,GRC,309,0.02400,60
Netherlands,31,NLD,31,0.02500,60
Netherlands,31,NLD,316,0.09000,60
Netherlands,31,NLD,319,0.02030,60
Belgium,32,BEL,32,0.02800,60
Belgium,32,BEL,321,0.03800,60
Belgium,32,BEL,322,0.03500,60
Belgium,32,BEL,323,0.03500,60
Belgium,32,BEL,324,0.16900,60
Belgium,32,BEL,325,0.03800,60
Belgium,32,BEL,326,0.03600,60
Belgium,32,BEL,327,0.03800,60
Belgium,32,BEL,328,0.03600,60
Belgium,32,BEL,329,0.03600,60
France,33,FRA,33,0.01900,60
France,33,FRA,336,0.05000,60
France,33,FRA,337,0.05000,60
France,33,FRA,338,0.02600,60
France,33,FRA,339,0.02600,60
Spain,34,ESP,34,0.02500,60
Spain,34,ESP,345,0.02700,60
Spain,34,ESP,3451,0.10000,60
Spain,34,ESP,3451820,0.60400,60
Spain,34,ESP,346,0.10000,60
Spain,34,ESP,34600,0.08500,60
Spain,34,ESP,346010,0.10000,60
Spain,34,ESP,346011,0.10000,60
Spain,34,ESP,346012,0.10000,60
Spain,34,ESP,34603,0.10000,60
Spain,34,ESP,34605,0.08500,60
Spain,34,ESP,34606,0.08500,60
Spain,34,ESP,34607,0.08500,60
Spain,34,ESP,34608,0.08500,60
Spain,34,ESP,34609,0.08500,60
Spain,34,ESP,34610,0.08500,60
Spain,34,ESP,34615,0.08500,60
Spain,34,ESP,34616,0.08500,60
Spain,34,ESP,34617,0.08500,60
Spain,34,ESP,34618,0.08500,60
Spain,34,ESP,34619,0.08500,60
Spain,34,ESP,34620,0.08500,60
Spain,34,ESP,34622,0.10000,60
Spain,34,ESP,34625,0.08500,60
Spain,34,ESP,34626,0.08500,60
Spain,34,ESP,34627,0.08500,60
Spain,34,ESP,34628,0.08500,60
Spain,34,ESP,34629,0.08500,60
Spain,34,ESP,34630,0.08500,60
Spain,34,ESP,34632,0.10000,60
Spain,34,ESP,34633,0.10000,60
Spain,34,ESP,34634,0.08500,60
Spain,34,ESP,34635,0.08500,60
Spain,34,ESP,34636,0.08500,60
Spain,34,ESP,34637,0.08500,60
Spain,34,ESP,34638,0.08500,60
Spain,34,ESP,34639,0.08500,60
Spain,34,ESP,346400,0.10000,60
Spain,34,ESP,346401,0.10000,60
Spain,34,ESP,346441,0.10000,60
Spain,34,ESP,346442,0.10000,60
Spain,34,ESP,346443,0.10000,60
Spain,34,ESP,346444,0.10000,60
Spain,34,ESP,34645,0.08500,60
Spain,34,ESP,34646,0.08500,60
Spain,34,ESP,34647,0.08500,60
Spain,34,ESP,34648,0.08500,60
Spain,34,ESP,34649,0.08500,60
Spain,34,ESP,34650,0.08500,60
Spain,34,ESP,34651,0.08500,60
Spain,34,ESP,34652,0.08500,60
Spain,34,ESP,34653,0.08500,60
Spain,34,ESP,34654,0.08500,60
Spain,34,ESP,34655,0.08500,60
Spain,34,ESP,34656,0.08500,60
Spain,34,ESP,34657,0.08500,60
Spain,34,ESP,34658,0.08500,60
Spain,34,ESP,34659,0.08500,60
Spain,34,ESP,34660,0.08500,60
Spain,34,ESP,34661,0.08500,60
Spain,34,ESP,34662,0.08500,60
Spain,34,ESP,34663,0.08500,60
Spain,34,ESP,34664,0.08500,60
Spain,34,ESP,34665,0.08500,60
Spain,34,ESP,34666,0.08500,60
Spain,34,ESP,34667,0.08500,60
Spain,34,ESP,346688,0.10000,60
Spain,34,ESP,34669,0.08500,60
Spain,34,ESP,34670,0.08500,60
Spain,34,ESP,34671,0.08500,60
Spain,34,ESP,34672,0.10000,60
